SSN,IBAN,ABARoutingNumber,FullName,Email
270 34 7884,GB78BARC20032677613392,122105155,Richard Jackson,Richard@contoso.onmicrosoft.com
030 72 7381,CH1189144783498428357,122235821,Sarah Jefferson,sarah.jefferson@contoso.com
757-85-7495,SK3115635396749717614684,123103729,Bradly McGordon,bradly.mcgordon@testcompany.com
781-70-8498,UA494845895613451142745412431,121141822,Shiva Agarwal,sargarwal@national.onmicrosoft.com
749 25 3016,TR290006231813528552456955,101000187,Flash Gordon,flash.gordon@outlook.com
789-21-8631,QA88CVZP215168419273216918345,114017714,Andrew O'Donnal,andrew.odonnal@contoso.onmicrosoft.com
182-73-1694,MT06NRRL47774317584945866514996,101200453,Angelica Jackson,angelica.jackson@msn.com
303-81-0470,GT24685489329784473889816647,104000029,Ruchi Gupta,ruchig@office.com
758 13 4820,HR3023600009537635798,123000220,William Richardson,william.richardson@contoso2.onmicrosoft.com
111-69-8921,BR2397994294145321435792318U4,125000105,Joseph Smith,joseph.smith@outlook.com
